============================================================
fluke 5560A — commands.txt
============================================================

Instrument: Fluke 5560A/5550A/5540A/5530A calibrator family
Vendor: fluke
Model: 5560A
Instrument type: multifunction precision calibrator / precision source calibrator
Programming guide: assets/fluke/5560A/programming_guide.md
Service manual: assets/fluke/5560A/service_manual.md
Generated on: 2026-05-06 10:50
Generated by: Junie (GPT-5.3 Codex)
Purpose: Audit-friendly inventory of all remote-control commands found in programming_guide.md.

Local artifact notice:
This file is a local PyMeasure driver-planning artifact. It should not be included in the final upstream PyMeasure pull request.

============================================================
Source rules
============================================================

- all command syntax was extracted from `programming_guide.md`,
- `service_manual.md`, if present, was used only for safety/risk notes,
- ambiguous or OCR-damaged entries are marked as `needs-verification`.

============================================================
Interface summary
============================================================

- IEEE-488/GPIB
- USBTMC
- RS-232
- Ethernet/Telnet
- Synchronization: *WAI, *OPC, *OPC?
- Error/status queue commands include ERR?, FAULT?, EXPLAIN?

============================================================
Command form legend
============================================================

command only
query only
command/query
unknown
needs-verification

Definitions:
command only = write/action command exists, no query form is documented.
query only = query exists, no write/set form is documented.
command/query = both command and query forms are documented.
unknown = the guide mentions the command but the form cannot be determined.
needs-verification = OCR, conversion, or source inconsistency must be checked manually.

============================================================
Command inventory
============================================================

Subsystem | Command | Form | Short description | Source evidence | Notes
Common | *SRE? | command/query | (Service Request Enable query) Returns the byte in the Service Request Enable (SRE). | Atomic command reference | 
Common | *STB? | query only | (Status Byte Register query) Returns the byte for the Status Byte Register. (See Status Byte | Atomic command reference | 
Common | *TRG | command only | (Trigger Thermocouple Measurement command) Triggers a thermocouple temperature | Atomic command reference | 
Common | *TST? | query only | (Self Test command) Initiates self-test and returns a 0 for pass or a 1 for fail. If any faults are | Atomic command reference | 
Common | *WAI | command only | (Wait-to-Continue command) Prevents further remote commands from being executed until all | Atomic command reference | 
Other | AC_REP? | query only | Returns the AC Representation for primary and secondary outputs. AC functions will return either | Atomic command reference | 
Communication | ADDR | command/query | Sets the GPIB interface bus address. | Atomic command reference | 
Communication | ADDR? | command/query | Returns the GPIB interface bus address. | Atomic command reference | 
Calibration | ADJ_ABORT | command only | Abort an adjustment procedure without making any adjustment. | Atomic command reference | 
Calibration | ADJ_BACKUP | command only | Move to the previous step of an adjustment procedure. | Atomic command reference | 
Calibration | ADJ_DATE? | query only | Returns the last adjustment date. | Atomic command reference | 
Calibration | ADJ_DAYS? | query only | Returns the number of days since adjustment was performed. | Atomic command reference | 
Calibration | ADJ_FAULT? | query only | Returns a list of any errors that occurred in the latest (or active) zero-adjust procedure for factory | Atomic command reference | 
Calibration | ADJ_INFO? | query only | Returns the description of the adjustment step, if any. | Atomic command reference | 
Calibration | ADJ_NEXT | command only | Advance to the next or specified step number within an adjustment procedure. | Atomic command reference | 
Calibration | ADJ_REF? | query only | Return the nominal value for the step, if any, else 0.0. | Atomic command reference | 
Calibration | ADJ_RETRY | command only | Retry a failed adjustment step. | Atomic command reference | 
Calibration | ADJ_SECT? | query only | Return the section containing the present step within an adjustment procedure.. | Atomic command reference | 
Calibration | ADJ_START | command only | Start an adjustment procedure. | Atomic command reference | 
Calibration | ADJ_STATE? | query only | Returns the active state within an adjustment procedure. | Atomic command reference | 
Calibration | ADJ_STEP? | query only | Returns the name of the present or specified step within an adjustment procedure. | Atomic command reference | 
Other | AMB_HUM? | query only | Returns the internal ambient humidity. | Atomic command reference | 
Other | AMB_TEMP? | query only | Returns the internal ambient temperature. | Atomic command reference | 
Output | BOOST | command/query | 5530A, 5540A, 5550A, 5560A V3.0 | Atomic command reference | 
Output | BOOST? | command/query | 5550A, 5560A, V3.0 | Atomic command reference | 
Calibration | CAL_COUNT? | query only | Returns the number of times the Product has been unsecured to do the calibration and the most | Atomic command reference | 
Calibration | CAL_INTV | command/query | Sets the verification interval to 90 days, 1 year or 2 years. | Atomic command reference | 
Calibration | CAL_INTV? | command/query | Returns the verification interval setting. (90 days, 1 year, or 2 year) | Atomic command reference | 
Calibration | CAL_PASSCODE | command only | Sets security passcode. The Calibrator secure state must be set to off or an execution fault | Atomic command reference | 
Calibration | CAL_SECURE | command/query | Lock/unlocks the calibration security with passcode. The passcode is entered as a string of | Atomic command reference | 
Calibration | CAL_SECURE? | command/query | Returns the current security state of the Calibrator. | Atomic command reference | 
Source | CFREQ? | query only | (Capacitance Frequency query) Returns the optimal frequency for stimulus when measuring or | Atomic command reference | 
Other | CLOCK | command/query | (Real-Time Clock command) Sets the real time clock, time only, or date and time. To set the | Atomic command reference | 
Other | CLOCK? | command/query | (Real_Time Clock query) Returns the date and time of the real time clock with the current date | Atomic command reference | 
Other | COILTURNS? | query only | 5550A, 5560A, V3.0 | Atomic command reference | 
Other | COILTYPE | command/query | 5550A, 5560A, V3.0 | Atomic command reference | 
Other | COILTYPE? | command/query | 5550A, 5560A, V3.0 | Atomic command reference | 
Communication | COMM_ENABLE | command/query | Enables or disables a remote interface port. | Atomic command reference | 
Communication | COMM_ENABLE? | command/query | Returns the active status of the interface port. | Atomic command reference | 
Communication | COMM_LOCK | command/query | Locks out certain remote commands from executing on a specified remote port. | Atomic command reference | 
Communication | COMM_LOCK? | command/query | Returns the lockout status of the interface port. | Atomic command reference | 
Communication | COMM_MODE | command/query | Sets the response type for a specified remote port. | Atomic command reference | 
Communication | COMM_MODE? | command/query | Returns the response type for a specified remote port. | Atomic command reference | 
Other | CUR_POST? | query only | (Current Post query) Returns the active front-panel binding post terminals used for current | Atomic command reference | 
Display | DATEFMT | command/query | Sets the date format that is entered and returned (and shown on the front panel). This setting is | Atomic command reference | 
Display | DATEFMT? | command/query | Returns the present date format setting. | Atomic command reference | 
Source | DBMZ | command/query | (dBm Impedance command) Sets the impedance used for dBm outputs (ac volts). | Atomic command reference | 
Source | DBMZ? | command/query | (dBm Impedance query) Returns the impedance used for dBm outputs (ac volts). | Atomic command reference | 
Source | DBMZ_D | command/query | (dBm Impedance Default command) Sets the power-up and reset default impedance used for | Atomic command reference | 
Source | DBMZ_D? | command/query | (dBm Impedance Default query) Returns the power-up and reset default impedance used for | Atomic command reference | 
Source | DC_OFFSET | command/query | (DC Voltage Offset command) Applies a dc offset to an ac output voltage (maximum six digits). | Atomic command reference | 
Source | DC_OFFSET? | command/query | (DC Voltage Offset query) Returns the value of the dc offset voltage. | Atomic command reference | 
Communication | DHCP | command/query | Enables/disables DHCP (Dynamic Host Configuration Protocol) for LAN operation. | Atomic command reference | 
Communication | DHCP? | command/query | Returns the current state of the DHCP enable setting. | Atomic command reference | 
Diagnostic | DIAG | command only | Runs self-diagnostics. If any faults are detected, they are logged into the fault queue where they | Atomic command reference | 
Diagnostic | DIAG_FAULT | command/query | Sets the Calibrator response action to faults encountered when running self diagnostics. In all | Atomic command reference | 
Diagnostic | DIAG_FAULT? | command/query | Returns the Calibrator response action to faults encountered when running self diagnostics. | Atomic command reference | 
Display | DISP_BRIGHTNESS | command/query | Sets the brightness of the display saved in the Calibrator non-volatile memory. (The Calibrator | Atomic command reference | 
Display | DISP_BRIGHTNESS? | command/query | Returns the brightness setting. | Atomic command reference | 
Source | DPF | command/query | 5530A, 5550A, 5560A | Atomic command reference | 
Source | DPF? | command/query | 5530A, 5550A, 5560A | Atomic command reference | 
Source | DUTY | command/query | (Duty Cycle command) Sets the duty cycle of the square wave output. The duty cycle is the | Atomic command reference | 
Source | DUTY? | command/query | (Duty Cycle query) Returns the value of the square wave output duty cycle (1.00 to 99.00). | Atomic command reference | 
Source | EDIT | command/query | (Edit command) Sets the edit field to the primary, secondary, frequency, dc offset, TC offset, or | Atomic command reference | 
Source | EDIT? | command/query | (Edit query) Returns the edit field setting. | Atomic command reference | 
Communication | ENETPORT | command/query | Sets the Ethernet port number. | Atomic command reference | 
Communication | ENETPORT? | command/query | Returns the Ethernet port number. | Atomic command reference | 
Communication | EOLSTR | command/query | Sets the end of line terminator for outgoing data for a specified remote port. | Atomic command reference | 
Communication | EOLSTR? | command/query | Returns the end of line terminator for outgoing data for a specified remote port. | Atomic command reference | 
Status | ERR? | query only | (Error query) Returns the first error code contained in the Calibrator error queue, then removes | Atomic command reference | 
Status | ERR_REF | command/query | Chooses the error reference for error calculations. | Atomic command reference | 
Status | ERR_REF? | command/query | Returns the error reference for error calculations. | Atomic command reference | 
Status | ERR_UNIT | command/query | (DUT Error Unit Threshold command) Chooses how DUT error is shown (this is nonvolatile). | Atomic command reference | 
Status | ERR_UNIT? | command/query | (DUT Error Unit Threshold query) Returns presently selected values of ERR_UNIT. | Atomic command reference | 
Status | EXPLAIN? | query only | (Explain Error query) Explains an error code. This command returns a string that explains the | Atomic command reference | 
Measure | EXTGUARD | command/query | (External guard command) Connects or disconnects the internal guard shield from the LO | Atomic command reference | 
Measure | EXTGUARD? | command/query | (External guard query) Returns whether the internal guard shields are connected or | Atomic command reference | 
Measure | EXTSENSE | command/query | Selects internal or external sensing. The default is internal sensing. | Atomic command reference | 
Measure | EXTSENSE? | command/query | Returns the status of internal or external sensing. | Atomic command reference | 
Status | FAULT? | query only | (Fault query) Returns the first error code contained in the Calibrator error queue, then removes | Atomic command reference | 
Display | FORMAT | command only | (Format command) Restores the contents of the nonvolatile memory device to factory defaults. | Atomic command reference | 
Source | FUNC? | query only | (Function query) Returns the present output, measurement, or calibration function. See the | Atomic command reference | 
Communication | GWADDR | command/query | Sets the Ethernet gateway address for LAN communication when NOT in DHCP function. | Atomic command reference | 
Communication | GWADDR? | command/query | Returns the Ethernet gateway address for LAN communication when NOT in the DHCP function. | Atomic command reference | 
Source | HARMONIC | command/query | 5530A, 5550A, 5560A V4.0 | Atomic command reference | 
Source | HARMONIC? | command/query | 5530A, 5550A, 5560A V4.0 | Atomic command reference | 
Other | ID? | query only | Return detailed instrument ID and software version information. | Atomic command reference | 
Other | ID52120? | query only | V3.0 | Atomic command reference | 
Source | INCR | command only | (Increment command) Increments or decrements the output (as selected with the EDIT | Atomic command reference | 
Communication | IPADDR | command/query | Sets the IP address for LAN communication when NOT in the DHCP function and with static IP | Atomic command reference | 
Communication | IPADDR? | command/query | Returns the IP address for LAN communication. When DHCP is enabled, this address will be the | Atomic command reference | 
Status | ISCE | command/query | (Instrument Status Change Enable command) Loads two bytes into the two 16-bit ISCE mask | Atomic command reference | 
Status | ISCE? | command/query | (Instrument Status Change Enable query) Returns the two bytes from the two 16-bit ISCE mask | Atomic command reference | 
Status | ISCE0 | command/query | (Instrument Status 1 to 0 Change Enable command) Loads the two bytes into the 16-bit ISCE0 | Atomic command reference | 
Status | ISCE0? | command/query | (Instrument Status 1 to 0 Change Enable query) Returns the two bytes from the 16-bit ISCE0 | Atomic command reference | 
Status | ISCE1 | command/query | (Instrument Status 0 to 1 Change Enable command) Loads the two bytes into the 16-bit ISCE1 | Atomic command reference | 
Status | ISCE1? | command/query | (Instrument Status 0 to 1 Change Enable query) Returns the two bytes from the 16-bit ISCE1 | Atomic command reference | 
Status | ISCR? | query only | (Instrument Status Change Register query) Returns and clears the contents of the Instrument | Atomic command reference | 
Status | ISCR0? | query only | (Instrument Status 1 to 0 Change Register query) Returns and clears the contents of the | Atomic command reference | 
Status | ISCR1? | query only | (Instrument Status 0 to 1 Change Register query) Returns and clears the contents of the | Atomic command reference | 
Status | ISR? | query only | (Instrument Status Register query) Returns contents of the Instrument Status Register. | Atomic command reference | 
Other | LCOMP_52120 | command/query | V3.0 | Atomic command reference | 
Other | LCOMP_52120? | command/query | V3.0 | Atomic command reference | 
Other | LED_BRIGHTNESS | command/query | Sets the output block LED ring brightness saved in the Calibrator non-volatile memory. (The | Atomic command reference | 
Other | LED_BRIGHTNESS? | command/query | **Description:** Returns the output block LED ring brightness setting. | Atomic command reference | 
Other | LFREQ? | query only | (Inductance Frequency query) Returns the optimal frequency for stimulus when measuring or | Atomic command reference | 
Other | LIMIT | command/query | (Limit command) Sets the maximum permissible output magnitude, negative and positive, for | Atomic command reference | 
Other | LIMIT? | command/query | (Limit query) Returns the programmed output magnitude limits for voltage and current. | Atomic command reference | 
Other | LOCAL | command only | (Local command) Puts the Calibrator into the local state, clearing the remote state (see | Atomic command reference | 
Other | LOCKOUT | command only | (Lockout command) Puts the Calibrator into the lockout state when in remote control (see | Atomic command reference | 
Other | LOWS | command/query | (Low Potential Output Terminals command) Selects whether or not the Calibrator front-panel | Atomic command reference | 
Other | LOWS? | command/query | (Low Potential Output Terminals query) Returns whether or not the Calibrator front-panel | Atomic command reference | 
Other | MACADDR? | query only | Returns the MAC/HW address for LAN communication. The MAC address is a unique assigned | Atomic command reference | 
Source | MULT | command only | (Multiply command) Multiplies the reference magnitude (as selected with the EDIT command or | Atomic command reference | 
Source | NEWREF | command only | (New Reference command) Sets the new reference to the present Calibrator output value and | Atomic command reference | 
Other | OL_TRIP? | query only | V2.0 | Atomic command reference | 
Source | OLDREF | command only | (Old Reference command) Sets the Calibrator output to the reference value and exit the error | Atomic command reference | 
Status | ONTIME? | query only | Returns the number of minutes since the calibrator was turned on. | Atomic command reference | 
Output | OPER | command/query | (Operate command) Activates the Calibrator output if it is in standby. This is the same as | Atomic command reference | 
Output | OPER? | command/query | (Operate query) Returns the operate/standby setting. | Atomic command reference | 
Output | OUT | command/query | (Output command) Sets the output of the Calibrator and establishes a new reference point for the | Atomic command reference | 
Output | OUT? | command/query | (Output query) Returns the output amplitudes and frequency of the Calibrator. Prefixes (for | Atomic command reference | 
Output | OUT_ERR? | query only | (Output Error query) Returns the DUT error and units computed by the Calibrator after shifting | Atomic command reference | 
Output | OUT_IMP | command/query | V2.0 | Atomic command reference | 
Output | OUT_IMP? | command/query | V2.0 | Atomic command reference | 
Source | PHASE | command/query | (Phase Difference command) Sets a phase difference between the Calibrator front-panel | Atomic command reference | 
Source | PHASE? | command/query | (Phase Difference query) Returns the phase difference between the Calibrator front-panel | Atomic command reference | 
Other | POST_52120 | command/query | V3.0 | Atomic command reference | 
Other | POST_52120? | command/query | V3.0 | Atomic command reference | 
Other | POWER? | query only | 5530A, 5550A, 5560A | Atomic command reference | 
Source | RANGE | command/query | V2.0 | Atomic command reference | 
Source | RANGE? | command/query | (Range query) Returns the present output ranges. Both the primary output and secondary | Atomic command reference | 
Source | RANGELCK | command/query | (Range Lock command) Locks in the present range, or selects auto ranging for dc voltage and dc | Atomic command reference | 
Source | RANGELCK? | command/query | (Range Lock query) Returns whether or not the preset dc volts or dc current single output range | Atomic command reference | 
Other | REFCLOCK_D | command/query | (Reference Clock Default command) Sets the power-up and reset default for the reference clock | Atomic command reference | 
Other | REFCLOCK_D? | command/query | (Reference Clock Default query) Returns the power-up and reset default for the reference clock | Atomic command reference | 
Source | REFOUT? | query only | (Reference Output query) Returns the present value of the reference when editing the output | Atomic command reference | 
Other | REFPHASE | command/query | (Reference Phase command) If two Calibrators are synchronized with 10 MHz IN/OUT, this sets | Atomic command reference | 
Other | REFPHASE? | command/query | (Reference Phase query) If two Calibrators are synchronized with 10 MHz IN/OUT, this returns | Atomic command reference | 
Other | REFPHASE_D | command/query | (Reference Phase Default command) If two Calibrators are synchronized with 10 MHz IN/OUT, | Atomic command reference | 
Other | REFPHASE_D? | command/query | (Reference Phase Default query) If two Calibrators are synchronized with 10 MHz IN/OUT, this | Atomic command reference | 
Other | REMOTE | command only | (Remote command) Places the Calibrator into the remote state. This command duplicates the | Atomic command reference | 
Other | RPT? | query only | V4.0 | Atomic command reference | 
Memory | RPT_STR | command/query | (Report String command) Loads the user report string. The user report string appears on | Atomic command reference | 
Memory | RPT_STR? | command/query | (Report String query) Returns the user report string. The user report string appears on calibration | Atomic command reference | 
Measure | RTD_TYPE | command/query | (Resistance Temperature Detector Type command) Sets the Resistance Temperature Detector | Atomic command reference | 
Measure | RTD_TYPE? | command/query | (Resistance Temperature Detector Type query) Returns the Resistance Temperature Detector | Atomic command reference | 
Measure | RTD_TYPE_D | command/query | (Resistance Temperature Detector Type Default command) Sets the default Resistance | Atomic command reference | 
Measure | RTD_TYPE_D? | command/query | (Resistance Temperature Detector Type Default query) Returns the default Resistance | Atomic command reference | 
Other | SCOPE | command/query | V2.0 | Atomic command reference | 
Other | SCOPE? | command/query | V2.0 | Atomic command reference | 
Communication | SP_SET | command/query | (Serial Port Set command) Sets the RS-232-C settings for the Calibrator rear-panel RS-232 | Atomic command reference | 
Communication | SP_SET? | command/query | (Serial Port Set query) Returns the RS-232-C settings for the Calibrator rear-panel RS-232 serial | Atomic command reference | 
Other | SPEC_CONFIDENCE | command/query | Set the calibration specification confidence level (95% or 99%) | Atomic command reference | 
Other | SPEC_CONFIDENCE? | command/query | Get the calibration specification confidence level (95% or 99%) | Atomic command reference | 
Other | SPEC_UNIT | command/query | V3.0 | Atomic command reference | 
Other | SPEC_UNIT? | command/query | V3.0 | Atomic command reference | 
Other | SPLSTR? | query only | (Serial Poll Response String query) Returns the string programmed for Serial Poll response. For | Atomic command reference | 
Other | SRQSTR? | query only | (Service Request String query) Returns the string programmed for Serial Mode SRQ response. | Atomic command reference | 
Output | STBY | command only | (Standby command) Deactivates the Calibrator output if it is in operate. This is the same as | Atomic command reference | 
Communication | SUBNETMASK | command/query | Sets the Ethernet subnet mask for LAN communication when NOT in the DHCP function. Consult | Atomic command reference | 
Communication | SUBNETMASK? | command/query | Returns the Ethernet subnet mask for LAN communication. | Atomic command reference | 
Other | SYNCOUT | command only | (Synchronization Pulse command) Sends a synchronization pulse out to a secondary Calibrator | Atomic command reference | 
Measure | TC_MEAS | command only | (Thermocouple Measure command) Selects the measure thermocouple function. | Atomic command reference | 
Measure | TC_OFFSET | command/query | (Thermocouple Temperature Measurement Offset command) Adds or subtracts a temperature | Atomic command reference | 
Measure | TC_OFFSET? | command/query | (Thermocouple Temperature Measurement Offset query) Returns the temperature offset used | Atomic command reference | 
Measure | TC_OTCD | command/query | (Thermocouple Open Detection command) Activates or deactivates the open thermocouple | Atomic command reference | 
Measure | TC_OTCD? | command/query | (Thermocouple Open Detection query) Returns the status of the open thermocouple detection | Atomic command reference | 
Measure | TC_REF | command/query | (Thermocouple Reference command) Sets whether the internal temperature sensor (INT) or an | Atomic command reference | 
Measure | TC_REF? | command/query | (Thermocouple Reference query) Returns the source and value of the temperature being used | Atomic command reference | 
Measure | TC_TYPE | command/query | (Thermocouple Type command) Sets the Thermocouple (TC) temperature sensor type. The TC | Atomic command reference | 
Measure | TC_TYPE? | command/query | (Thermocouple Type query) Returns the Thermocouple (TC) temperature sensor type. When the | Atomic command reference | 
Measure | TC_TYPE_D | command/query | (Thermocouple Type Default command) Sets the default thermocouple (TC) sensor type, which | Atomic command reference | 
Measure | TC_TYPE_D? | command/query | (Thermocouple Type Default query) Returns the default thermocouple (TC) sensor type. | Atomic command reference | 
Measure | TEMP_STD | command/query | (Temperature Degree Standard command) Selects the temperature standard ipts-68 (1968 | Atomic command reference | 
Measure | TEMP_STD? | command/query | (Temperature Degree Standard command) Returns the temperature standard ipts-68 (1968 | Atomic command reference | 
Measure | TEMP_STD_D | command/query | (Temperature Degree Standard command) Selects the default temperature standard ipts-68 | Atomic command reference | 
Measure | TEMP_STD_D? | command/query | (Temperature Degree Standard command) Returns the temperature standard ipts-68 (1968 | Atomic command reference | 
Measure | TEMP_UNIT_D | command/query | Sets the default temperature units of the Product to either CEL or FAR | Atomic command reference | 
Measure | TEMP_UNIT_D? | command/query | Returns the default temperature units of the Product. | Atomic command reference | 
Display | TIMEFMT | command/query | Sets the time format that is shown on the front panel. This setting is kept in non-volatile memory. | Atomic command reference | 
Display | TIMEFMT? | command/query | Returns the present time format setting. | Atomic command reference | 
Other | TLIMIT | command/query | V2.0 | Atomic command reference | 
Other | TLIMIT? | command/query | V2.0 | Atomic command reference | 
Other | TLIMIT_D | command/query | V2.0 | Atomic command reference | 
Other | TLIMIT_D? | command/query | V2.0 | Atomic command reference | 
Other | TMWAVE | command/query | V2.0 | Atomic command reference | 
Other | TMWAVE? | command/query | V2.0 | Atomic command reference | 
Other | TRIG | command/query | V2.0 | Atomic command reference | 
Other | TRIG? | command/query | V2.0 | Atomic command reference | 
Other | TSENS_TYPE | command only | (Temperature Source command) Selects the either the Thermocouple (TC) or Resistive | Atomic command reference | 
Other | UNCERT? | query only | (Uncertainties command) Returns specified uncertainties for the present output. If there are no | Atomic command reference | 
Other | USB_CHECK? | query only | Returns the number of USB drives connected and the number of those drives that can be | Atomic command reference | 
Measure | VAL? | query only | (Measurement Value command) Returns the last value of the thermocouple temperature, or | Atomic command reference | 
Other | VER_DATE | command/query | Save the present date as the verification date (the date when the Product was verified). | Atomic command reference | 
Other | VER_DATE? | command/query | Returns the verification date and ambient temperature. | Atomic command reference | 
Other | VER_DAYS? | query only | Returns the number of days since the instrument has ben verified (when VER_DATE was set). | Atomic command reference | 
Other | VER_TEMP | command/query | Set the ambient temperature when the Product was verified. | Atomic command reference | 
Other | VER_TEMP? | command/query | Returns the ambient temperature when the Product was verified. | Atomic command reference | 
Other | VIDEOFMT | command/query | V2.0 | Atomic command reference | 
Other | VIDEOFMT? | command/query | V2.0 | Atomic command reference | 
Other | VIDEOMARK | command/query | V2.0 | Atomic command reference | 
Other | VIDEOMARK? | command/query | V2.0 | Atomic command reference | 
Measure | VVAL? | query only | (Thermocouple Measurement Voltage command) Returns the last value of the thermocouple | Atomic command reference | 
Source | WAVE | command/query | (Waveform command) Sets the waveforms for ac outputs. If the Calibrator is sourcing one | Atomic command reference | 
Source | WAVE? | command/query | (Waveform query) Returns the waveform types for ac outputs. Waveform choices are SINE (sine | Atomic command reference | 
Other | ZCOMP | command/query | (Impedance Compensation command) Activates or deactivates 2-wire or 4-wire impedance | Atomic command reference | 
Other | ZCOMP? | command/query | (Impedance Compensation query) Returns status of 2-wire or 4-wire impedance compensation. | Atomic command reference | 
Other | ZERO_MEAS | command/query | V2.0 | Atomic command reference | 
Other | ZERO_MEAS? | command/query | V2.0 | Atomic command reference | 

============================================================
Command counts
============================================================

Total unique commands: 222
command only: 23
query only: 45
command/query: 154
unknown: 0
needs-verification: 0

Counts per subsystem

Subsystem | Count
Calibration | 19
Common | 17
Communication | 22
Diagnostic | 3
Display | 7
Measure | 27
Memory | 2
Other | 68
Output | 10
Source | 29
Status | 18

============================================================
Command groups for next workflow step
============================================================

Common/status commands: not specified
Error/status queue commands: ERR?, FAULT?, EXPLAIN?, *ESR?, *STB?, ISCR?, ISCR0?, ISCR1?
Output/source commands: OUT, OUT?, OPER, OPER?, STBY, BOOST, BOOST?, WAVE, WAVE?, FUNC, FUNC?
Measurement/sense commands: VAL?, VVAL?, TC_MEAS, TC_OFFSET, TC_OFFSET?, EXTSENSE, EXTSENSE?
Trigger/initiate/arm commands: *TRG, *WAI, *OPC, *OPC?
Display/format commands: DISP_BRIGHTNESS, DISP_BRIGHTNESS?, FORMAT, DATEFMT, TIMEFMT
Memory/file commands: *PUD, *PUD?, RPT_STR, RPT_STR?
Calibration/adjustment commands: CAL_*, ADJ_*
Diagnostic/test commands: DIAG, DIAG_FAULT, DIAG_FAULT?, *TST?
Data transfer/parser candidates: *IDN?, ID?, *OPT?, OUT?, AC_REP?, ERR?, FAULT?, EXPLAIN?, VAL?, VVAL?
Model/option-dependent commands: BOOST, BOOST?, ID52120?
Commands requiring manual verification: none

============================================================
Parser candidates
============================================================

Command | Reason | Source evidence | Notes
*IDN? | Comma-separated identity response. | Atomic command reference | parser candidate
OUT? | Compound response fields. | Atomic command reference | parser candidate
ERR? | Error queue code+text. | Atomic command reference | parser candidate
EXPLAIN? | Long text explanation response. | Atomic command reference | parser candidate
VAL? | Measurement response structure. | Atomic command reference | parser candidate

============================================================
Risk hints for later hardware test design
============================================================

Command or topic | Risk hint | Suggested later hardware-test policy | Source evidence | Notes
OPER / OUT / BOOST | May enable hazardous output. | operator-confirmed-only | programming_guide.md safety notes | potentially destructive
STBY | Returns output to standby. | roundtrip-safe | programming_guide.md safety notes | safe final-state candidate
CAL_* / ADJ_* | Calibration/adjustment modifies correction state. | never | programming_guide.md and service_manual.md risk context | service-risk operations
DIAG / *TST? | Long-running diagnostics. | protocol-only | command sections | avoid broad hardware automation
ERR? / FAULT? / EXPLAIN? | Safe telemetry queries. | query-only | status sections | queue diagnostics

============================================================
PyMeasure notes for next prompt
============================================================

- use `SCPIMixin, Instrument` if the programming guide confirms IEEE-488.2 or SCPI common commands,
- do not use `includeSCPI=True`,
- map `command/query` entries later to `Instrument.control` only after API design,
- map `query only` entries later to `Instrument.measurement` or explicit read methods,
- map `command only` entries later to methods,
- use parser methods for data-transfer commands,
- do not design getters or setters,
- do not run destructive or hazardous commands in broad hardware tests,
- hardware tests must be skipped without a VISA address,
- safe final state must be defined before any real-device tests.
